Index,Lon_4326,Lat_4326,CenX_32610,CenY_32610,BBox_32610,Area_32610,Len_32610,Wid_32610,Peri_32610,BCR_32610
"533",-122.484215835992742,49.164446685206229,537601.327048499253578,5445864.851935815066099,"(537601.296980657, 5445864.811422626, 537601.3516128614, 5445864.886193199)",0.002495064294155,0.074770573526621,0.054632204351947,0.326276075344383,0.041980190750237
"534",-122.484143161547209,49.164447825573646,537606.624224641942419,5445865.014795979484916,"(537606.5777538867, 5445864.959807986, 537606.6968668835, 5445865.078506506)",0.006295416690882,0.118698519654572,0.119112996850163,0.740918130601160,0.083459441305192
"535",-122.484183914868339,49.164448842129651,537603.652497102273628,5445865.107566712424159,"(537603.4162011404, 5445864.840434445, 537603.9260371389, 5445865.354789946)",0.211930288976160,0.514355501160026,0.509835998527706,2.705370687396877,0.316261221969439
"536",-122.484105659692375,49.164452504137181,537609.354604023508728,5445865.553525875322521,"(537609.3235151485, 5445865.522092668, 537609.3882968877, 5445865.5798236225)",0.001744234516358,0.057730954140425,0.064781739260070,0.319478177084758,0.041643444364577
"537",-122.484159301747297,49.164457421566730,537605.440321309957653,5445866.073546126484871,"(537605.1926631882, 5445865.676569367, 537605.6318925328, 5445866.334613427)",0.137309364984661,0.658044059760869,0.439229344599880,4.377533623928469,0.429535609839052
"538",-122.484153199978778,49.164459139999863,537605.883844916359521,5445866.267610644921660,"(537605.8452864714, 5445866.23242656, 537605.9130037519, 5445866.297255806)",0.001952156301203,0.064829246141016,0.067717280471697,0.394249685739233,0.044250381980173
"539",-122.484126476055252,49.164459204007947,537607.831996697350405,5445866.287997633218765,"(537607.5579711328, 5445866.01768107, 537608.1298384335, 5445866.58160435)",0.197260196498826,0.563923280686140,0.571867300663143,3.677399614180049,0.330047635310382
"540",-122.484212402436441,49.164461240599351,537601.566337131313048,5445866.471731609664857,"(537600.9472133231, 5445865.994855737, 537602.1010001965, 5445866.910411219)",0.704532018114209,0.915555481798947,1.153786873444915,8.150093425089890,0.639587133031252
"541",-122.484185931490373,49.164464363667591,537603.493730142014101,5445866.832060407847166,"(537603.4038159281, 5445866.705258363, 537603.6214881787, 5445866.923883934)",0.035300526838346,0.218625570647418,0.217672250582837,0.944840894631908,0.148748213852882
"542",-122.484165065138725,49.164464913871704,537605.014490851317532,5445866.903587088920176,"(537604.9774820325, 5445866.872477329, 537605.0523437683, 5445866.933630103)",0.003338302428561,0.061152773909271,0.074861735804006,0.326275487237685,0.044007093900051
"543",-122.484192585288852,49.164469569513720,537603.004719826625660,5445867.407478799112141,"(537602.8293560684, 5445867.304298323, 537603.169030526, 5445867.515362631)",0.052488735581768,0.211064307950437,0.339674457558431,1.291507581514286,0.176618933222652
"544",-122.484154886857354,49.164472139915183,537605.751025433302857,5445867.711944815702736,"(537605.6957805424, 5445867.679608509, 537605.8015306034, 5445867.743882134)",0.002864701987842,0.064273624680936,0.105750060989521,0.360262210961244,0.062106596490371
"545",-122.484165030726743,49.164478928847686,537605.006386681110598,5445868.461618103086948,"(537604.9702543647, 5445868.425596591, 537605.0485609763, 5445868.496899049)",0.003303647781610,0.071302457712591,0.078306611627340,0.387452378252178,0.043033115473560
